expression                                                                     	plurality 	Yago4          	manifestation                               	modifiers            	vagueness
Truthiness                                                                     	instance  	intangible     	undetermined                                	MODIFIERS            	NOT_VAGUE
the belief                                                                     	instance  	intangible     	determined mass_noun                        	MODIFIERS            	NOT_VAGUE
assertion                                                                      	instance  	intangible     	undetermined                                	adjective           	NOT_VAGUE
a particular statement                                                         	instance  	intangible     	undetermined                                	adjective           	NOT_VAGUE
the intuition                                                                  	instance  	intangible     	determined mass_noun                        	MODIFIERS            	subjective
perceptions                                                                  	class     	intangible     	undetermined                                   	MODIFIERS             	portions subjective
some individual or individuals                                                 	class     	Person       	numbered                                    	MODIFIERS             	portions
regard                                                                         	instance  	intangible     	mass_noun                                   	MODIFIERS            	NOT_VAGUE
evidence                                                                       	instance  	intangible     	mass_noun                                   	MODIFIERS            	subjective
logic                                                                          	instance  	intangible     	mass_noun                                   	MODIFIERS            	NOT_VAGUE
intellectual examination                                                       	instance  	creativework   	mass_noun                                   	adjective            	subjective
facts                                                                          	class     	intangible     	undetermined                                	MODIFIERS            	NOT_VAGUE
ignorant assertions                                                           	class     	creativework   	undetermined                                	adjective           	portions subjective
falsehoods                                                                   	class     	creativework   	undetermined                                	MODIFIERS           	portions subjective
deliberate duplicity                                                           	instance  	intangible     	mass_noun                                   	MODIFIERS            	portions subjective
propaganda                                                                     	instance  	intangible     	mass_noun                                   	MODIFIERS            	subjective
opinions                                                                       	class     	intangible     	undetermined                                	MODIFIERS            	portions
The concept                                                                   	instance  	intangible     	determined                                  	MODIFIERS             	NOT_VAGUE
truthiness                                                                    	instance  	intangible     	undetermined                                  	MODIFIERS             	NOT_VAGUE
a major subject                                                               	instance  	intangible     	undetermined                                	adjective           	subjective
discussion                                                                   	instance  	intangible     	mass_noun                                   	MODIFIERS           	NOT_VAGUE
US politics                                                                    	class     	intangible     	undetermined                                	MODIFIERS            	portions
late 20th and early 21st centuries                                             	class     	intangible     	numbered                                    	MODIFIERS            	degree
the perception                                                              	instance  	intangible     	determined                                   	MODIFIERS             	subjective
some observers                                                              	class     	Person         	numbered                                     	MODIFIERS             	portions
a rise                                                                      	instance   	intangible     	undetermined                                 	MODIFIERS             	degree
propaganda                                                                  	class     	intangible     	mass_noun                                    	MODIFIERS             	NOT_VAGUE
a growing hostility                                                            	instance  	intangible     	undetermined                                	adjective           	subjective
factual reporting                                                              	instance  	Action       	mass_noun                                      	adjective           	NOT_VAGUE
fact-based discussion                                                          	instance  	action         	mass_noun                                   	adjective            	NOT_VAGUE
American television comedian Stephen Colbert                                   	instance  	person         	named                                       	adjective            	NOT_VAGUE
the term truthiness                                                            	instance  	creativework   	determined                                     	noun                  	NOT_VAGUE
this meaning                                                                   	instance  	intangible     	qualified_anaphora                            	MODIFIERS             	NOT_VAGUE
the subject                                                                    	instance  	intangible     	determined                                     	MODIFIERS             	NOT_VAGUE
a segment                                                                      	instance  	intangible     	undetermined                                   	MODIFIERS             	NOT_VAGUE
The Word                                                                       	instance  	creativework   	determined                                  	adjective           	NOT_VAGUE
the pilot episode                                                              	instance  	creativework   	determined                                  	noun                	NOT_VAGUE
